会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
直接人工-差数,a025,实际扫描-间接人工收入,8999011101,-1,,,,5701,研究发展费用
直接人工损益(80%),a026,制造费用-标准-直接人工,45000102,0.8,,,,570101,研究发展费用-薪资支出
直接人工损益(80%),a026,制造费用-WIP-直接人工,45000202,0.8,,,,57010101,研究发展费用-薪资支出-基本薪资
直接人工损益(80%),a026,制造费用-薪资支出-直接技师-基本薪资,45010111,-1,,,,57010102,研究发展费用-薪资支出-加班费
直接人工损益(80%),a026,制造费用-薪资支出-直接技师-加班费,45010112,-1,,,,57010103,研究发展费用-薪资支出-奖金
直接人工损益(80%),a026,制造费用-薪资支出-直接技师-奖金,45010113,-1,,,,570102,研究发展费用-租金支出
直接人工损益(80%),a026,制造费用-薪资支出-直接作业员-基本薪资,45010114,-1,,,,570103,研究发展费用-文具用品
直接人工损益(80%),a026,制造费用-薪资支出-直接作业员-加班费,45010115,-1,,,,570104,研究发展费用-旅费
直接人工损益(80%),a026,制造费用-薪资支出-直接作业员-奖金,45010116,-1,,,,570105,研究发展费用-运费
直接人工损益(80%),a026,制造费用-薪资支出-直接作业员-劳务派遣,45010117,-1,,,,570106,研究发展费用-邮电费
间接人工损益(20%),a027,实际扫描-间接人工收入,8999011101,1,,,,570107,研究发展费用-修缮费
间接人工损益(20%),a027,制造费用-薪资支出-间接专业-基本薪资,45010101,-1,,,,570108,研究发展费用-广告费
间接人工损益(20%),a027,制造费用-薪资支出-间接专业-加班费,45010102,-1,,,,570109,研究发展费用-水电瓦斯费
间接人工损益(20%),a027,制造费用-薪资支出-间接专业-奖金,45010103,-1,,,,57010901,研究发展费用-水电瓦斯费-水费
间接人工损益(20%),a027,制造费用-薪资支出-间接一般-基本薪资,45010104,-1,,,,57010902,研究发展费用-水电瓦斯费-电费
